#{"t_start": 1729549721.708162, "env_id": "None"}
r,l,t
-0.181643,2,53.353421
0.289212,5,53.419638
0.780578,5,53.486152
0.114788,4,53.551691
-0.366108,2,53.61403
-0.5,1,53.674618
-0.222757,3,53.740067
0.877826,7,53.810469
-0.5,1,53.872934
-0.178162,2,53.935252
-0.5,1,53.996922
-0.058963,3,54.060021
0.058844,3,54.123707
0.978879,6,54.191781
0.54559,6,54.260153
1.160943,8,54.33225
-0.185404,2,54.394549
-0.018914,3,54.458195
-0.083676,3,54.521276
0.920626,6,54.588601
0.422029,5,54.655395
-0.220793,2,54.716969
0.116524,3,54.780291
0.795797,6,54.848319
-0.5,1,54.908291
0.201175,5,54.975984
0.695155,7,55.047197
0.142298,3,55.111424
0.119556,3,55.176238
0.08737,4,55.24115
0.822198,5,55.307697
-0.265656,2,55.368769
0.226338,4,55.436851
0.137808,3,55.50498
-0.5,1,55.569175
0.648027,5,55.643218
0.134973,3,55.711099
-0.177236,2,55.774569
-0.010726,3,55.838159
-0.363474,2,55.89961
0.377483,4,55.965246
1.813692,9,56.039071
0.109599,3,56.103695
0.018458,3,56.1729
-0.191018,2,56.238255
0.9693,6,56.308084
0.586992,5,56.374695
1.642691,8,56.446309
0.74706,5,56.514018
-0.147257,2,56.577081
0.391753,4,56.647938
0.273602,4,56.715505
0.914628,5,56.784158
-0.5,1,56.845156
0.366326,4,56.911091
-0.195805,2,56.973311
0.870378,7,57.042908
0.347304,4,57.108678
-0.196891,2,57.170625
0.275365,4,57.23753
0.468487,6,57.30701
0.665357,5,57.376159
-0.234812,2,57.438605
-0.26685,3,57.504233
0.058462,3,57.568212
0.050197,3,57.632241
-0.229854,2,57.694654
0.068106,3,57.757815
0.178301,4,57.82282
0.146941,3,57.887738
-0.194535,2,57.949909
0.095782,3,58.014876
-0.312452,3,58.079544
0.070432,3,58.144807
1.004949,5,58.212134
-0.164333,3,58.278779
0.469146,5,58.346743
1.450439,9,58.419772
0.806722,10,58.49575
1.454693,8,58.570337
0.044184,3,58.634647
0.188433,3,58.699368
0.160663,3,58.764151
-0.043979,3,58.828767
-0.167067,2,58.893997
-0.012978,3,58.959029
-0.175064,2,59.023622
0.427574,4,59.090552
0.326232,4,59.156883
-0.064001,3,59.222027
0.062033,4,59.28831
1.813184,10,59.364652
-0.5,1,59.427147
0.570361,5,59.510961
0.077003,3,59.585714
0.140041,3,59.701277
-0.000256,4,59.782747
0.190363,4,59.85939
0.034753,3,59.928258
0.677057,5,60.003089
-0.048307,3,60.075395
0.035638,3,60.152553
0.237049,4,60.234097
1.357367,8,60.311017
-0.345493,2,60.379309
0.157615,3,60.447053
0.059701,3,60.513851
-0.5,1,60.574975
2.338274,10,60.650122
0.199091,3,60.715281
0.514014,5,60.784975
-0.164294,2,60.849267
-0.202053,2,60.91406
0.023899,3,60.978454
-0.133711,3,61.042501
-0.172415,2,61.104575
0.032526,3,61.170425
0.951253,7,61.243027
0.037813,3,61.307559
0.480137,4,61.380044
0.472939,4,61.452515
-0.201956,3,61.523812
0.052148,3,61.593372
-0.165176,2,61.657054
1.348529,8,61.728677
1.804765,9,61.802103
0.325737,5,61.870232
0.014685,3,61.936508
0.361168,4,62.004772
-0.5,1,62.070037
0.422105,4,62.139758
1.083513,5,62.208505
0.370449,4,62.277637
0.782894,6,62.352121
1.404056,9,62.429869
1.813601,10,62.507638
0.501671,9,62.588295
0.015896,3,62.657475
0.37466,4,62.741029
-0.202873,2,62.811136
-0.222619,2,62.877262
-0.5,1,62.941729
0.494345,5,63.01543
0.493658,5,63.087868
-0.5,1,63.153784
0.142871,3,63.229165
-0.075684,3,63.300562
-0.07886,3,63.368505
0.062046,3,63.435616
-0.174933,2,63.501539
1.356126,7,63.574765
0.043531,3,63.645444
-0.269902,3,63.719363
0.776906,5,63.795749
0.637347,5,63.868077
0.288434,4,63.936564
0.488769,5,64.006269
-0.5,1,64.067607
0.249595,4,64.138282
0.477694,6,64.211495
0.110097,3,64.277952
0.066879,3,64.345942
0.01643,4,64.413632
-0.045207,3,64.47976
0.172552,3,64.5431
-0.5,1,64.605042
0.162354,4,64.671673
-0.079484,3,64.740743
0.140724,4,64.80996
0.125068,3,64.879953
-0.067748,3,64.951357
1.147646,6,65.022842
-0.275777,2,65.090714
-0.048572,3,65.158181
-0.034212,3,65.225867
0.493262,4,65.297474
3.143513,12,65.3794
-0.16758,2,65.446441
-0.5,1,65.510796
0.245155,4,65.582051
0.272434,5,65.657168
0.092823,3,65.727215
1.657839,9,65.817381
0.532049,6,65.892398
0.777866,6,65.976552
-0.148337,2,66.044381
-0.21665,2,66.111306
-0.5,1,66.178466
-0.277914,2,66.247235
0.916002,7,66.323396
0.59586,5,66.399062
-0.193953,2,66.472242
-0.318519,2,66.542745
-0.196525,3,66.617565
-0.5,1,66.686233
-0.5,1,66.756079
0.116624,3,66.830977
1.067166,6,66.907763
0.895441,8,66.986048
-0.273876,2,67.054195
-0.5,1,67.119717
0.317547,4,67.189514
0.258824,4,67.263878
-0.243784,2,67.337965
-0.229347,2,67.406874
0.477793,4,67.478067
