#{"t_start": 1729553081.504801, "env_id": "None"}
r,l,t
1.045176,6,33.964631
-0.5,1,34.037105
-0.5,1,34.105404
0.87107,5,34.179959
0.208775,3,34.247989
1.276562,6,34.330956
-0.5,1,34.404227
2.473352,10,34.492149
0.718961,5,34.5638
-0.204398,2,34.637561
-0.126127,3,34.712573
0.618534,5,34.792455
-0.153153,2,34.858495
-0.5,1,34.930704
-0.193693,2,35.012495
0.744987,5,35.107693
0.470837,4,35.199737
0.869392,5,35.289861
0.174886,3,35.360945
-0.5,1,35.423479
0.158753,3,35.493256
0.075476,3,35.564903
-0.5,1,35.63398
2.749118,10,35.727539
-0.5,1,35.790851
0.793036,5,35.860417
-0.5,1,35.924774
-0.5,1,35.989663
-0.160114,2,36.057855
-0.5,1,36.128367
-0.158753,2,36.196475
-0.178047,2,36.266585
-0.178759,2,36.336614
-0.155896,2,36.402321
-0.191157,2,36.468442
-0.191024,2,36.535497
-0.5,1,36.597832
-0.5,1,36.660476
-0.5,1,36.724252
0.154556,3,36.796096
-0.185354,2,36.863569
0.149637,3,36.93888
-0.181622,2,37.007548
0.638229,5,37.08139
-0.5,1,37.146223
-0.181184,2,37.210123
0.16239,3,37.276693
0.471106,4,37.344183
-0.5,1,37.405512
0.161044,3,37.472104
-0.152268,2,37.536346
-0.5,1,37.600873
0.128893,3,37.670228
-0.5,1,37.733782
0.166339,3,37.802186
-0.167913,2,37.866052
-0.5,1,37.927976
-0.182237,2,37.993058
0.146344,3,38.060913
-0.5,1,38.121913
0.180561,3,38.187253
-0.5,1,38.249946
-0.5,1,38.315362
-0.159471,2,38.381945
-0.199675,2,38.447742
2.179278,9,38.526358
-0.301242,2,38.592089
-0.5,1,38.654322
-0.167419,2,38.718522
0.375488,4,38.788516
-0.5,1,38.851743
1.312267,6,38.953651
1.81641,8,39.06868
-0.5,1,39.159468
0.432521,4,39.25277
0.123562,3,39.351989
1.054958,6,39.469348
0.116773,3,39.58473
0.107157,3,39.677726
1.294421,7,39.75764
-0.5,1,39.81991
0.181908,3,39.886738
-0.5,1,39.94946
1.083965,6,40.02335
-0.183563,2,40.091855
-0.200311,2,40.156157
0.013743,3,40.223369
0.198662,3,40.301547
-0.5,1,40.372819
0.351889,4,40.451145
-0.187807,2,40.522722
0.112863,3,40.592314
1.536523,7,40.670264
-0.5,1,40.736044
0.172813,3,40.804645
-0.5,1,40.871041
-0.5,1,40.935355
-0.222305,2,41.001529
-0.5,1,41.064869
-0.5,1,41.128296
-0.5,1,41.190588
0.475775,4,41.260651
0.160697,3,41.327678
-0.181378,2,41.391613
1.516259,7,41.465963
0.150983,3,41.53334
-0.149308,2,41.598685
-0.5,1,41.660715
0.418109,4,41.728201
-0.154007,2,41.791693
1.189057,6,41.864066
-0.5,1,41.925402
0.531574,4,41.993113
-0.5,1,42.054971
-0.5,1,42.117626
0.1404,3,42.182747
-0.158719,2,42.246483
0.736149,5,42.317344
-0.5,1,42.378952
-0.5,1,42.442329
0.484585,4,42.514007
0.56567,4,42.582534
0.35002,4,42.65014
-0.170148,2,42.713775
0.151301,3,42.778872
-0.168027,2,42.842032
-0.182758,2,42.905854
0.182622,3,42.972357
-0.183972,2,43.035847
-0.158373,2,43.106797
-0.5,1,43.174587
-0.1721,2,43.245181
-0.173239,2,43.311125
-0.5,1,43.375413
0.174011,3,43.446434
-0.5,1,43.508
1.181167,6,43.579202
-0.5,1,43.642645
-0.5,1,43.705133
-0.5,1,43.766802
-0.5,1,43.827712
-0.164547,2,43.892468
1.071254,6,43.963573
0.133644,3,44.033077
-0.5,1,44.095777
-0.5,1,44.157338
1.283803,6,44.229608
-0.5,1,44.290734
0.242977,3,44.356093
-0.5,1,44.419975
1.14494,6,44.491661
-0.5,1,44.554291
0.466971,5,44.625373
-0.5,1,44.688336
-0.5,1,44.750011
0.987933,6,44.821761
-0.190605,2,44.886625
2.207772,9,44.966923
-0.172511,2,45.032907
0.825432,5,45.103473
-0.5,1,45.166544
0.131571,3,45.232207
0.189176,3,45.29755
0.052664,3,45.364827
0.442034,4,45.433541
-0.5,1,45.495104
2.260481,9,45.57319
1.581827,8,45.650286
1.177119,6,45.723405
0.199545,3,45.789168
-0.188354,2,45.852397
-0.183407,2,45.918007
-0.5,1,45.99002
-0.141414,2,46.058467
0.095786,3,46.128048
0.825951,5,46.203342
-0.5,1,46.269564
-0.5,1,46.332445
-0.190937,2,46.397717
0.727937,5,46.468506
1.408266,7,46.574979
-0.5,1,46.646794
-0.5,1,46.710787
0.095143,3,46.777641
-0.5,1,46.839633
-0.5,1,46.906011
-0.230338,2,46.973363
0.342422,4,47.044739
-0.5,1,47.110858
0.949178,6,47.185829
-0.209738,2,47.253865
-0.204907,2,47.322479
0.197093,3,47.389609
-0.5,1,47.451593
-0.5,1,47.520084
-0.5,1,47.58908
-0.5,1,47.652903
-0.184676,2,47.71826
-0.5,1,47.781031
-0.1538,2,47.845173
0.077987,3,47.910349
-0.5,1,47.971558
1.128566,6,48.042593
-0.5,1,48.112923
-0.166762,2,48.194519
-0.18794,2,48.267513
0.083248,3,48.341116
0.154171,3,48.409295
-0.5,1,48.470919
0.219071,3,48.537755
-0.201731,2,48.605981
1.409824,7,48.681416
-0.5,1,48.743056
0.100771,3,48.81534
-0.5,1,48.888499
-0.5,1,48.950639
-0.171011,2,49.014774
-0.149869,2,49.081295
-0.185685,2,49.156667
-0.5,1,49.232111
-0.161846,2,49.299113
-0.5,1,49.366133
0.7139,5,49.442974
-0.182847,2,49.511563
1.150698,6,49.60123
0.430774,4,49.676532
-0.5,1,49.73809
0.44677,4,49.807716
-0.5,1,49.869678
-0.5,1,49.939552
-0.5,1,50.00618
-0.193658,2,50.074973
0.937603,5,50.146369
0.383846,4,50.213927
-0.19719,2,50.278794
-0.5,1,50.339877
1.42723,7,50.41398
0.539598,4,50.482856
0.130377,3,50.552354
-0.5,1,50.627914
1.544359,7,50.71171
-0.5,1,50.773205
-0.5,1,50.834866
1.127715,6,50.90812
-0.190656,2,50.972815
0.170223,3,51.038112
0.437782,4,51.112351
-0.5,1,51.174346
-0.146783,2,51.246545
-0.5,1,51.314723
-0.5,1,51.414316
-0.5,1,51.513094
-0.205835,2,51.586664
-0.166717,2,51.659259
-0.190299,2,51.731453
0.937366,6,51.803075
1.16999,6,51.876686
-0.5,1,51.944637
-0.169162,2,52.015889
-0.163663,2,52.089171
-0.5,1,52.151969
-0.5,1,52.213022
1.064847,6,52.285984
-0.5,1,52.348085
0.125091,3,52.414889
0.395893,4,52.483387
-0.184243,2,52.555527
0.184151,3,52.632557
-0.5,1,52.700505
-0.18182,2,52.77277
0.415246,4,52.848986
0.237698,3,52.923788
-0.5,1,52.991723
-0.5,1,53.055657
1.504974,7,53.729829
0.120389,3,53.802305
4.196634,16,53.902959
-0.5,1,53.966692
-0.161035,2,54.031874
3.714389,14,54.12273
-0.161832,2,54.189968
0.148805,3,54.261979
-0.177937,2,54.331773
-0.165623,2,54.400824
0.48663,4,54.476791
0.39152,4,54.547028
