#{"t_start": 1729361209.829303, "env_id": "None"}
r,l,t
-0.164543,2,64.98946
4.539965,15,65.094889
1.694752,8,65.180421
0.051424,3,65.251804
-0.199977,2,65.321737
0.154202,3,65.393468
0.882026,5,65.472749
-0.174572,2,65.540886
1.535831,7,65.623688
0.188679,3,65.694708
-0.5,1,65.760526
-0.184477,2,65.828582
0.17425,3,65.899716
-0.5,1,65.965825
1.171813,6,66.045828
1.591045,7,66.128659
0.442379,4,66.201588
-0.5,1,66.266495
0.534051,5,66.344352
1.213627,7,66.425933
1.143212,6,66.506118
-0.144138,2,66.575027
0.66196,5,66.653547
2.189916,9,66.743425
0.479228,4,66.819109
-0.5,1,66.885138
0.946479,5,66.963658
0.471973,4,67.039509
3.480148,13,67.139827
-0.181552,2,67.20851
-0.161797,2,67.277926
0.137703,3,67.349245
-0.204069,2,67.417735
-0.171726,2,67.486084
0.96682,6,67.566611
-0.185233,2,67.635294
3.168919,11,67.729106
5.888709,20,67.847725
0.044283,3,67.91973
-0.5,1,67.985661
-0.5,1,68.050684
0.850872,5,68.127346
1.809816,9,68.215854
1.222321,6,68.295875
0.208939,3,68.368572
-0.209522,2,68.439631
0.106546,4,68.516327
0.556198,4,68.591736
0.822085,5,68.669605
-0.5,1,68.73526
-0.5,1,68.801006
-0.17424,2,68.869801
1.425065,7,68.95209
0.905889,5,69.028622
-0.17184,2,69.097254
0.109018,3,69.170463
1.455613,7,69.253504
1.935907,8,69.339354
-0.5,1,69.404918
4.563079,17,69.515236
-0.162735,2,69.589527
-0.161458,2,69.663421
-0.5,1,69.732853
-0.164294,2,69.802781
2.370519,10,69.89529
-0.21347,2,69.963834
0.154678,3,70.034258
3.507877,13,70.132841
-0.193381,2,70.202153
1.774681,8,70.288266
-0.5,1,70.353441
-0.163794,2,70.42113
1.454335,7,70.504636
0.159346,3,70.576745
-0.231773,2,70.644973
0.485686,4,70.71955
0.07314,3,70.789405
0.443857,4,70.861496
0.042561,3,70.933959
-0.5,1,71.001116
3.79814,14,71.106067
0.188824,3,71.17988
-0.163295,2,71.254226
1.166329,6,71.336524
1.192929,6,71.415467
0.866704,5,71.491759
2.558854,10,71.581914
-0.186846,2,71.650509
-0.188489,2,71.718104
3.312211,12,71.818093
3.031563,11,71.912216
1.144353,6,71.990735
-0.5,1,72.056336
-0.172702,2,72.124753
-0.5,1,72.189623
0.135201,3,72.259953
3.902171,13,72.360874
-0.176649,2,72.430642
-0.5,1,72.496089
-0.5,1,72.561845
-0.5,1,72.626861
1.942173,8,72.712821
-0.161768,2,72.781233
-0.173793,2,72.849948
1.039597,6,72.928911
-0.5,1,72.993779
-0.192131,2,73.061728
1.952247,8,73.146097
0.269393,4,73.220153
0.841943,5,73.293856
0.581045,4,73.367346
-0.204887,2,73.436331
-0.5,1,73.502905
-0.5,1,73.571508
0.073233,3,73.647365
2.967905,12,73.747804
0.455461,4,73.821111
0.153984,3,73.891878
1.552263,7,73.974232
0.142644,3,74.046731
0.73976,5,74.124009
2.410742,10,74.213946
-0.181295,2,74.282146
1.249074,6,74.361792
1.383402,7,74.442882
-0.5,1,74.507869
1.267521,6,74.588061
